pollster,field_start,field_end,sample_n,segment_type,segment,georgescu_pct,georgescu2nd_pct
Actual Result,,,,,,22.94,
AtlasIntel,2024-11-09,2024-11-12,1321,Gender,Men,5.4,5.9
AtlasIntel,2024-11-09,2024-11-12,1714,Gender,Women,8.6,2.5
AtlasIntel,2024-11-09,2024-11-12,360,Education,Any Schooling,1.7,6.2
AtlasIntel,2024-11-09,2024-11-12,1860,Education,High School,8.8,3.6
AtlasIntel,2024-11-09,2024-11-12,815,Education,University,5.6,3.3
AtlasIntel,2024-11-09,2024-11-12,394,Age,18-29,21.9,5.9
AtlasIntel,2024-11-09,2024-11-12,431,Age,30-39,11.4,4.2
AtlasIntel,2024-11-09,2024-11-12,560,Age,40-49,9.3,5.6
AtlasIntel,2024-11-09,2024-11-12,595,Age,50-59,2.2,3.8
AtlasIntel,2024-11-09,2024-11-12,674,Age,60-69,1.0,2.9
AtlasIntel,2024-11-09,2024-11-12,381,Age,70,3.0,1.3
AtlasIntel,2024-11-09,2024-11-12,306,Region,București–Ilfov,4.1,8.9
AtlasIntel,2024-11-09,2024-11-12,652,Region,Moldova,10.1,3.3
AtlasIntel,2024-11-09,2024-11-12,1038,Region,Transilvania,5.8,2.5
AtlasIntel,2024-11-09,2024-11-12,964,Region,Muntenia,7.3,3.9
AtlasIntel,2024-11-09,2024-11-12,75,Region,Diasporă,8.5,
AtlasIntel,2024-11-09,2024-11-12,3035,Density,Metropolitan,5.8,2.6
AtlasIntel,2024-11-09,2024-11-12,3035,Density,Urban,7.2,2.8
AtlasIntel,2024-11-09,2024-11-12,3035,Density,Rural,8.5,6.7
AtlasIntel,2024-11-09,2024-11-12,634,Income,"3,000 RON<",7.1,6.5
AtlasIntel,2024-11-09,2024-11-12,734,Income,"3,000-5,000 RON",6.7,1.6
AtlasIntel,2024-11-09,2024-11-12,695,Income,"5,000-7,000 RON",8.2,6.5
AtlasIntel,2024-11-09,2024-11-12,625,Income,"7,000-10,000 RON",5.9,2.7
AtlasIntel,2024-11-09,2024-11-12,347,Income,">10,000 RON",7.5,1.5
