County,Nicusor_Dan_Votes,Nicusor_Dan_Pct,George_Simion_Votes,George_Simion_Pct,Winner,Total_Valid_Votes,Turnout_Pct,Population_2024,Pct_Urban,GDP_Per_Capita_RON_2023,GDP_Per_Capita_USD_PPP_2023,Avg_Net_Salary_RON_Jun2025,Pct_Male_Census2021,Pct_Female_Census2021,Pct_Age_0_14,Pct_Age_15_64,Pct_Age_65_Plus,Median_Age_Approx
Alba,90248,51.7,84307,48.3,Dan,174555,58.45,325697,53.7,74376,42286,4715,48.9,51.1,14.5,65.5,20.0,43.5
Arad,96744,47.74,105901,52.26,Simion,202645,54.14,410871,56.0,74217,42196,5025,48.4,51.6,15.0,65.3,19.7,42.8
Argeș,144461,47.06,162489,52.94,Simion,306950,61.21,564829,49.6,71442,40618,5410,48.7,51.3,14.2,65.0,20.8,43.8
Bacău,132761,48.87,138900,51.13,Simion,271661,46.96,595888,47.0,51829,29467,5138,49.0,51.0,16.0,64.5,19.5,41.5
Bihor,182029,63.64,103995,36.36,Dan,286024,58.34,555957,55.8,66071,37564,4670,48.8,51.2,15.8,65.0,19.2,42.0
Bistrița-Năsăud,65653,49.64,66610,50.36,Simion,132263,51.29,297082,40.4,50203,28542,4343,49.2,50.8,15.5,65.0,19.5,41.8
Botoșani,73170,45.61,87243,54.39,Simion,160413,43.41,389748,33.4,36955,21010,4131,49.1,50.9,16.5,63.5,20.0,41.0
Brăila,62978,45.64,75009,54.36,Simion,137987,51.92,274751,65.5,60174,34212,4469,47.8,52.2,13.5,64.1,22.4,45.5
Brașov,199023,62.69,118474,37.31,Dan,317497,61.34,557129,68.2,94456,53702,5376,48.2,51.8,15.0,66.0,19.0,42.5
București,749291,69.65,326451,30.35,Dan,1091406,61.26,1721784,100.0,247744,140854,7051,46.8,53.2,14.5,68.5,17.0,41.0
Buzău,99466,49.58,101161,50.42,Simion,200627,55.96,398344,43.9,51602,29338,4567,48.5,51.5,14.0,63.8,22.2,44.8
Călărași,55059,41.88,76416,58.12,Simion,131475,55.86,279349,34.0,43248,24588,4462,48.9,51.1,15.0,63.5,21.5,43.5
Caraș-Severin,48785,42.41,66237,57.59,Simion,115022,46.29,243685,65.7,65406,37186,4697,48.3,51.7,13.0,65.5,21.5,45.0
Cluj,298313,70.16,126885,29.84,Dan,425198,69.61,693507,67.8,123387,70151,6633,47.5,52.5,15.5,68.5,16.0,40.0
Constanța,180853,50.47,177458,49.53,Dan,358311,59.26,657419,66.9,98870,56212,4880,48.3,51.7,15.3,65.5,19.2,42.5
Covasna,85153,84.42,15721,15.58,Dan,100874,56.92,199675,45.1,56863,32329,4296,49.0,51.0,14.5,65.5,20.0,43.0
Dâmbovița,107476,45.7,127676,54.3,Simion,235152,57.39,476962,41.9,54778,31144,4607,49.0,51.0,15.0,64.0,21.0,43.0
Dolj,149161,51.01,143278,48.99,Dan,292439,53.91,598371,63.5,64810,36847,4837,47.8,52.2,14.0,65.0,21.0,44.0
Galați,126042,51.96,116516,48.04,Dan,242558,47.23,493009,64.9,50866,28920,4858,48.3,51.7,15.0,64.5,20.5,43.0
Giurgiu,59717,43.99,76035,56.01,Simion,135752,64.58,258661,27.1,39529,22245,4524,49.3,50.7,15.5,63.0,21.5,43.5
Gorj,59804,38.52,95439,61.48,Simion,155243,54.8,310056,53.2,103088,58610,4693,48.5,51.5,13.5,65.0,21.5,44.5
Harghita,142248,90.78,14439,9.22,Dan,156687,59.84,292148,44.5,59434,33791,4255,49.0,51.0,15.0,65.0,20.0,42.5
Hunedoara,87301,46.43,100733,53.57,Simion,188034,52.79,354879,78.9,64384,36605,4405,48.0,52.0,13.5,65.5,21.0,44.5
Ialomița,49924,44.43,62448,55.57,Simion,112372,51.7,249364,38.1,54846,31183,4568,48.8,51.2,14.5,63.5,22.0,44.0
Iași,232461,58.75,163233,41.25,Dan,395694,49.41,778689,57.8,67908,38609,5335,48.5,51.5,17.0,67.2,15.8,39.5
Ilfov,197499,56.96,149226,43.04,Dan,346725,81.06,583663,25.7,79518,45209,5443,49.0,51.0,18.0,68.2,13.8,37.5
Maramureș,102658,51.21,97812,48.79,Dan,200470,48.24,451881,50.9,56397,32064,4287,49.0,51.0,15.5,65.0,19.5,42.0
Mehedinți,50656,44.0,64463,56.0,Simion,115119,52.89,230094,52.2,57143,32488,4396,48.0,52.0,13.0,64.0,23.0,46.0
Mureș,172218,67.02,84764,32.98,Dan,256982,55.4,519831,55.8,64875,36884,4982,48.8,51.2,15.0,65.5,19.5,42.5
Neamț,102270,47.53,112895,52.47,Simion,215165,48.23,447776,39.1,50200,28541,4353,48.8,51.2,15.0,64.0,21.0,43.5
Olt,80832,43.0,107130,57.0,Simion,187962,55.18,376539,43.8,48781,27734,5003,48.2,51.8,13.5,64.0,22.5,45.0
Prahova,196928,52.24,180022,47.76,Dan,376950,60.58,688976,58.1,91694,52132,4987,48.3,51.7,14.5,65.0,20.5,43.5
Sălaj,67460,62.19,41016,37.81,Dan,108476,57.26,210656,40.4,61555,34997,4609,49.2,50.8,15.5,65.0,19.5,42.0
Satu Mare,89328,63.51,51327,36.49,Dan,140655,45.8,330701,52.9,56223,31965,4354,48.8,51.2,15.5,65.0,19.5,42.0
Sibiu,126977,58.55,89905,41.45,Dan,216882,57.32,393581,68.6,84126,47830,5528,48.2,51.8,15.0,66.0,19.0,42.0
Suceava,123695,42.37,168234,57.63,Simion,291929,48.71,645196,34.1,44719,25425,4208,49.3,50.7,17.0,64.0,19.0,40.5
Teleorman,69572,46.48,80095,53.52,Simion,149667,53.75,315482,36.5,54595,31040,4252,48.0,52.0,12.0,60.9,27.1,48.0
Timiș,216694,58.37,154517,41.63,Dan,371211,59.52,663543,73.8,107615,61184,6192,48.0,52.0,15.5,68.3,16.2,40.5
Tulcea,40054,41.67,56058,58.33,Simion,96112,52.79,189336,50.2,66609,37870,5539,48.5,51.5,14.0,64.5,21.5,44.0
Vâlcea,81224,46.32,94114,53.68,Simion,175338,56.76,340637,51.4,62781,35694,4126,48.0,52.0,13.0,62.6,24.4,46.0
